Threat_date,Title,Summary,Source,Location,Threat_level
2020-11-10,Microsoft CVE-2020-17001: Windows Print Spooler Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17001/,,4
2020-11-10,Microsoft CVE-2020-17033: Windows Remote Access Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17033/,,4
2020-11-10,Microsoft CVE-2020-17004: Windows Graphics Component Information Disclosure Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17004/,,4
2020-11-10,Microsoft CVE-2020-16997: Remote Desktop Protocol Server Information Disclosure Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-16997/,,4
2020-11-10,Microsoft CVE-2020-17087: Windows Kernel Local Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17087/,,4
2020-11-10,Microsoft CVE-2020-16979: Microsoft SharePoint Information Disclosure Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-16979/,,4
2020-11-10,Microsoft CVE-2020-16898: Windows TCP/IP Remote Code Execution Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-16898/,,6
2020-11-10,Microsoft CVE-2020-17077: Windows Update Stack Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17077/,,4
2020-11-10,Microsoft CVE-2020-17055: Windows Remote Access Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17055/,,4
2020-11-10,Microsoft CVE-2020-17020: Microsoft Word Security Feature Bypass Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17020/,,4
2020-11-10,Microsoft CVE-2020-17053: Internet Explorer Memory Corruption Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17053/,,4
2020-11-10,Microsoft CVE-2020-17024: Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17024/,,4
2020-11-10,Microsoft CVE-2020-17041: Windows Print Configuration Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17041/,,4
2020-11-10,Microsoft CVE-2020-17027: Windows Remote Access Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-17027/,,4
2020-11-10,Microsoft CVE-2020-1472: (Zerologon) Netlogon Elevation of Privilege Vulnerability,,https://www.rapid7.com/db/vulnerabilities/msft-cve-2020-1472/,,9
2020-11-10,Microsoft CVE-2020-17067: Microsoft Excel Security Feature Bypass Vulnerability,,https://www.rapid7.com/db/vulnerabilities/microsoft-office-cve-2020-17067/,,4
2020-11-10,Microsoft CVE-2020-17065: Microsoft Excel Remote Code Execution Vulnerability,,https://www.rapid7.com/db/vulnerabilities/microsoft-office-cve-2020-17065/,,4
2020-11-10,Microsoft CVE-2020-17020: Microsoft Word Security Feature Bypass Vulnerability,,https://www.rapid7.com/db/vulnerabilities/microsoft-office-cve-2020-17020/,,4
2020-11-10,Microsoft CVE-2020-17062: Microsoft Office Access Connectivity Engine Remote Code Execution Vulnerability,,https://www.rapid7.com/db/vulnerabilities/microsoft-office-cve-2020-17062/,,4
2020-11-10,Microsoft CVE-2020-17063: Microsoft Office Online Spoofing Vulnerability,,https://www.rapid7.com/db/vulnerabilities/microsoft-office-cve-2020-17063/,,4
